,question,student,reference,label,score,feedback,pred_label,pred_score,pred_feedback,clean_pred_label
0,"software-defined networking (sdn) introduces separate control and data planes to manage network flows. please explain the responsibilities of each plane in 1-2 sentences. further, name two tasks the sdn controller takes care of. ",no submission.,"['control plane: the control plane is logically centralized, but can be physically distributed\n(multiple coordinating control servers for higher availability and scalability).\none of the following responsibilities  should be given:\n● decides the route for the packet/data\n○ control servers manage the network graph, define routes, and update the\nflow tables of connected switches.\n● handles unprocessed packets coming in from the data plane\ndata plane: responsible for packet forwarding. individual switches just execute\nactions according to their flow tables decided upon by the control plane.\n\nthe following are the tasks taken care of by the controller:\n● configuration of forwarding tables\n● injecting packets\n● events from switch (packet-in)\n● collection/monitoring of traffic statistics\n● discovery of topology\n● inventorying what devices are within the network and the capabilities of each device\n● interfaces with control logic (control “application”) via the northbound interface(s)\n● implements a southbound interface to interact with the data plane.\n● implements the control plane.']",incorrect,0.0,the response is empty.,incorrect,0.0,the response is an empty submission.,incorrect
1,"software-defined networking (sdn) introduces separate control and data planes to manage network flows. please explain the responsibilities of each plane in 1-2 sentences. further, name two tasks the sdn controller takes care of. ","the control plane manages a global view of the network and defines how routing should be done in the network.
the data plane does execute the forwarding of packets based upon the decisions taken by the control plane.","['control plane: the control plane is logically centralized, but can be physically distributed\n(multiple coordinating control servers for higher availability and scalability).\none of the following responsibilities  should be given:\n● decides the route for the packet/data\n○ control servers manage the network graph, define routes, and update the\nflow tables of connected switches.\n● handles unprocessed packets coming in from the data plane\ndata plane: responsible for packet forwarding. individual switches just execute\nactions according to their flow tables decided upon by the control plane.\n\nthe following are the tasks taken care of by the controller:\n● configuration of forwarding tables\n● injecting packets\n● events from switch (packet-in)\n● collection/monitoring of traffic statistics\n● discovery of topology\n● inventorying what devices are within the network and the capabilities of each device\n● interfaces with control logic (control “application”) via the northbound interface(s)\n● implements a southbound interface to interact with the data plane.\n● implements the control plane.']",partially correct,0.5,"the response correctly states the responsibilities of both planes, but the sdn controller's tasks are missing.",correct,1.0,the response correctly states and describes the responsibilities of each plane in SDN,correct
2,"software-defined networking (sdn) introduces separate control and data planes to manage network flows. please explain the responsibilities of each plane in 1-2 sentences. further, name two tasks the sdn controller takes care of. ","the control plane defines routers and manages the network graphs.
the data plane manages the forwarding of packets (they make that the packets can flow through the network from host to host.
the dsn controller has many tasks, being two of the them the configuration of the forwarding tables and the collections of traffic statistics.","['control plane: the control plane is logically centralized, but can be physically distributed\n(multiple coordinating control servers for higher availability and scalability).\none of the following responsibilities  should be given:\n● decides the route for the packet/data\n○ control servers manage the network graph, define routes, and update the\nflow tables of connected switches.\n● handles unprocessed packets coming in from the data plane\ndata plane: responsible for packet forwarding. individual switches just execute\nactions according to their flow tables decided upon by the control plane.\n\nthe following are the tasks taken care of by the controller:\n● configuration of forwarding tables\n● injecting packets\n● events from switch (packet-in)\n● collection/monitoring of traffic statistics\n● discovery of topology\n● inventorying what devices are within the network and the capabilities of each device\n● interfaces with control logic (control “application”) via the northbound interface(s)\n● implements a southbound interface to interact with the data plane.\n● implements the control plane.']",correct,1.0,the response correctly states the responsibilities of both planes and the tasks of the sdn controller.,correct,1.0,,correct
3,"software-defined networking (sdn) introduces separate control and data planes to manage network flows. please explain the responsibilities of each plane in 1-2 sentences. further, name two tasks the sdn controller takes care of. ","-	responsibilities:
      o	data plane: switches are responsible for pure forwarding and therefore the connectivity throughout the network. 
      o	control plane: (multiple) servers provide logically centralized control for routing (defining the routes/routing tables and managing the network graph)
-	tasks of the sdn controller:
      o	implements south and northbound interfaces to the data plane and other control plane units respectively.
      o	provides the routing logic, defines routes (e.g. dijkstra) and manages the network graph (e.g. collecting statistics)","['control plane: the control plane is logically centralized, but can be physically distributed\n(multiple coordinating control servers for higher availability and scalability).\none of the following responsibilities  should be given:\n● decides the route for the packet/data\n○ control servers manage the network graph, define routes, and update the\nflow tables of connected switches.\n● handles unprocessed packets coming in from the data plane\ndata plane: responsible for packet forwarding. individual switches just execute\nactions according to their flow tables decided upon by the control plane.\n\nthe following are the tasks taken care of by the controller:\n● configuration of forwarding tables\n● injecting packets\n● events from switch (packet-in)\n● collection/monitoring of traffic statistics\n● discovery of topology\n● inventorying what devices are within the network and the capabilities of each device\n● interfaces with control logic (control “application”) via the northbound interface(s)\n● implements a southbound interface to interact with the data plane.\n● implements the control plane.']",correct,1.0,the response correctly states the responsibilities of both planes and the tasks of the sdn controller.,correct,1.0,the response correctly explains the responsibilities of each plane in SDN and names two tasks taken care of by the controller.,correct
4,"software-defined networking (sdn) introduces separate control and data planes to manage network flows. please explain the responsibilities of each plane in 1-2 sentences. further, name two tasks the sdn controller takes care of. ",control plane is logically centralized and responsible to define routes and manages network graphs while data plane is physically distributed and responsible for forwarding of packets.,"['control plane: the control plane is logically centralized, but can be physically distributed\n(multiple coordinating control servers for higher availability and scalability).\none of the following responsibilities  should be given:\n● decides the route for the packet/data\n○ control servers manage the network graph, define routes, and update the\nflow tables of connected switches.\n● handles unprocessed packets coming in from the data plane\ndata plane: responsible for packet forwarding. individual switches just execute\nactions according to their flow tables decided upon by the control plane.\n\nthe following are the tasks taken care of by the controller:\n● configuration of forwarding tables\n● injecting packets\n● events from switch (packet-in)\n● collection/monitoring of traffic statistics\n● discovery of topology\n● inventorying what devices are within the network and the capabilities of each device\n● interfaces with control logic (control “application”) via the northbound interface(s)\n● implements a southbound interface to interact with the data plane.\n● implements the control plane.']",partially correct,0.5,"the response correctly states the responsibilities of both planes, but the sdn controller's tasks are missing.",incorrect,0.5,the response correctly identifies the responsibilities of each plane but does not name two tasks taken care by the SDN controller,incorrect
5,"software-defined networking (sdn) introduces separate control and data planes to manage network flows. please explain the responsibilities of each plane in 1-2 sentences. further, name two tasks the sdn controller takes care of. ","control plane: the control plane computes the forwarding rules and install them on the data plane

data plane: the data planes responsibility is the forwarding of packets to the right outgoing device port based on the forwarding rules.

sdn controller tasks:
- discovers the network topology
- configures forwarding tables","['control plane: the control plane is logically centralized, but can be physically distributed\n(multiple coordinating control servers for higher availability and scalability).\none of the following responsibilities  should be given:\n● decides the route for the packet/data\n○ control servers manage the network graph, define routes, and update the\nflow tables of connected switches.\n● handles unprocessed packets coming in from the data plane\ndata plane: responsible for packet forwarding. individual switches just execute\nactions according to their flow tables decided upon by the control plane.\n\nthe following are the tasks taken care of by the controller:\n● configuration of forwarding tables\n● injecting packets\n● events from switch (packet-in)\n● collection/monitoring of traffic statistics\n● discovery of topology\n● inventorying what devices are within the network and the capabilities of each device\n● interfaces with control logic (control “application”) via the northbound interface(s)\n● implements a southbound interface to interact with the data plane.\n● implements the control plane.']",correct,1.0,the response correctly states the responsibilities of both planes and the tasks of the sdn controller.,correct,1.0,,correct
6,"software-defined networking (sdn) introduces separate control and data planes to manage network flows. please explain the responsibilities of each plane in 1-2 sentences. further, name two tasks the sdn controller takes care of. ","data plane: the data plane is responsible for forwarding a packet from one open flow switch to the next to get a packet from its sender- through the network - to its receiver. the data plane implements the logic the control plane predefines. 

control plane: the control plane is often a physically distributed but logically centralized unit, that defines routing and manages the network graph. its responsible for calculating the optimal routes through the system, converging the routing algorithms quickly in case of disturbances and providing the sdn controller with the correct flow table entries. 

the controller has an interface to both the data plane as well as the control plane and acts as a connecting link between the two planes. 
exemplary tasks the controller has to take care of are: configuration of forwarding tables, injecting packets into the data plane, dealing with packets a switch does not know how to handle or collecting traffic statistics.","['control plane: the control plane is logically centralized, but can be physically distributed\n(multiple coordinating control servers for higher availability and scalability).\none of the following responsibilities  should be given:\n● decides the route for the packet/data\n○ control servers manage the network graph, define routes, and update the\nflow tables of connected switches.\n● handles unprocessed packets coming in from the data plane\ndata plane: responsible for packet forwarding. individual switches just execute\nactions according to their flow tables decided upon by the control plane.\n\nthe following are the tasks taken care of by the controller:\n● configuration of forwarding tables\n● injecting packets\n● events from switch (packet-in)\n● collection/monitoring of traffic statistics\n● discovery of topology\n● inventorying what devices are within the network and the capabilities of each device\n● interfaces with control logic (control “application”) via the northbound interface(s)\n● implements a southbound interface to interact with the data plane.\n● implements the control plane.']",partially correct,0.75,"the sdn controller implements the control plane, which is an abstraction, so stating control plane provides correct flow entries to the sdn controller is not logically correct. the controller has an interface to the control logic, not the control plane, as it is part of the control plane. apart from this, the response is correct.",correct,1.0,,correct
7,"software-defined networking (sdn) introduces separate control and data planes to manage network flows. please explain the responsibilities of each plane in 1-2 sentences. further, name two tasks the sdn controller takes care of. ","the control plane inludes the control logic. they define the routes for the packets and therefore manage the netowork graph. the control plane is logically centralised and installs the routing tables into the data plane. 
the data plane exists on the level of the routers, and is in charge of forwarding the packets in the network. 

the sdn controller installs the flow tables into the switches and receives the requests of the network switches/routers.","['control plane: the control plane is logically centralized, but can be physically distributed\n(multiple coordinating control servers for higher availability and scalability).\none of the following responsibilities  should be given:\n● decides the route for the packet/data\n○ control servers manage the network graph, define routes, and update the\nflow tables of connected switches.\n● handles unprocessed packets coming in from the data plane\ndata plane: responsible for packet forwarding. individual switches just execute\nactions according to their flow tables decided upon by the control plane.\n\nthe following are the tasks taken care of by the controller:\n● configuration of forwarding tables\n● injecting packets\n● events from switch (packet-in)\n● collection/monitoring of traffic statistics\n● discovery of topology\n● inventorying what devices are within the network and the capabilities of each device\n● interfaces with control logic (control “application”) via the northbound interface(s)\n● implements a southbound interface to interact with the data plane.\n● implements the control plane.']",correct,1.0,the response correctly states the responsibilities of both planes and the tasks of the sdn controller.,correct,1.0,the response is correct as it accurately describes the responsibilities of both planes in SDN and provides two tasks that an SDN controller takes care of,correct
8,"software-defined networking (sdn) introduces separate control and data planes to manage network flows. please explain the responsibilities of each plane in 1-2 sentences. further, name two tasks the sdn controller takes care of. ","the data plane is in the switches they ensure that packets flow trough the network. they get their rooting tables from the control plane and just execute the commands from the control plane.
the control plane is outside of the switches in one or multiple server and handles the logic part. it takes care of the rooting tables.
it also does load distribution between controller instances, collection of traffic statistics and the discovery of the topology.
in comparison of normal network the logic is centralized and not decentralized. this greatly simplifies the implementation of control logic because you have a global view of the network.","['control plane: the control plane is logically centralized, but can be physically distributed\n(multiple coordinating control servers for higher availability and scalability).\none of the following responsibilities  should be given:\n● decides the route for the packet/data\n○ control servers manage the network graph, define routes, and update the\nflow tables of connected switches.\n● handles unprocessed packets coming in from the data plane\ndata plane: responsible for packet forwarding. individual switches just execute\nactions according to their flow tables decided upon by the control plane.\n\nthe following are the tasks taken care of by the controller:\n● configuration of forwarding tables\n● injecting packets\n● events from switch (packet-in)\n● collection/monitoring of traffic statistics\n● discovery of topology\n● inventorying what devices are within the network and the capabilities of each device\n● interfaces with control logic (control “application”) via the northbound interface(s)\n● implements a southbound interface to interact with the data plane.\n● implements the control plane.']",partially correct,0.5,"the response correctly states the responsibilities of both planes, but the sdn controller's tasks are missing.",correct,1.0,"» {""label"": ""correct"", ""numeric_score"": 1.0, ""feedback"": ""the response correctly explains the responsibilities of each plane and names two tasks taken care of by the controller.""}",correct
9,"software-defined networking (sdn) introduces separate control and data planes to manage network flows. please explain the responsibilities of each plane in 1-2 sentences. further, name two tasks the sdn controller takes care of. ","the control plane is logically centralizes and responsible to define routes and manage the network graph. the data plane is responsible of the forwarding of the packets.
the sdn controller not only implements the control plane, it also implements an interface to the switches (southbound) and an interface with control logic (northbound).","['control plane: the control plane is logically centralized, but can be physically distributed\n(multiple coordinating control servers for higher availability and scalability).\none of the following responsibilities  should be given:\n● decides the route for the packet/data\n○ control servers manage the network graph, define routes, and update the\nflow tables of connected switches.\n● handles unprocessed packets coming in from the data plane\ndata plane: responsible for packet forwarding. individual switches just execute\nactions according to their flow tables decided upon by the control plane.\n\nthe following are the tasks taken care of by the controller:\n● configuration of forwarding tables\n● injecting packets\n● events from switch (packet-in)\n● collection/monitoring of traffic statistics\n● discovery of topology\n● inventorying what devices are within the network and the capabilities of each device\n● interfaces with control logic (control “application”) via the northbound interface(s)\n● implements a southbound interface to interact with the data plane.\n● implements the control plane.']",correct,1.0,the response correctly states the responsibilities of both planes and the tasks of the sdn controller.,correct,1.0,,correct
